id,rouge1_f1,rouge2_f1,rougeLsum_f1,bleu1,bleu2,bleu3,bleu4,bertscore_p,bertscore_r,bertscore_f1,bertscore_precision_only,qafacteval_available,qafacteval_score
1,0.3902439024390244,0.13793103448275862,0.2731707317073171,0.2857142857142857,0.1673654817511446,0.10340617696684345,0.07778719763206841,0.18923407793045044,0.3654668927192688,0.27449220418930054,0.18923407793045044,False,
2,0.3487179487179487,0.06217616580310881,0.1948717948717949,0.23648648648648649,0.0982471864864824,0.040435466969924116,0.021851051858359123,0.15430374443531036,0.2921001613140106,0.2226485013961792,0.15430374443531036,False,
3,0.23673469387755106,0.03292181069958847,0.1469387755102041,0.16494845360824742,0.05063561592523782,0.018830433721727217,0.00966878499203574,0.04383870214223862,0.18424734473228455,0.11343556642532349,0.04383870214223862,False,
4,0.4166666666666667,0.14018691588785046,0.2777777777777778,0.2875,0.16468953066128386,0.10631412739614404,0.07438464915335453,0.1991605907678604,0.36587685346603394,0.280263751745224,0.1991605907678604,False,
5,0.28708133971291866,0.04830917874396135,0.1722488038277512,0.25333333333333335,0.10100169445053483,0.04100138571383861,0.022004528562702918,0.11131168901920319,0.2704954743385315,0.1891285926103592,0.11131168901920319,False,
6,0.42156862745098034,0.14851485148514848,0.24509803921568632,0.28776978417266186,0.16464734369063228,0.09964441566629509,0.0519343853966273,0.2428462952375412,0.34401842951774597,0.2943892776966095,0.2428462952375412,False,
7,0.28947368421052627,0.10619469026548672,0.1929824561403509,0.1927710843373494,0.11336404025302713,0.07775936006983636,0.0542372824272048,0.07064733654260635,0.23114393651485443,0.14903053641319275,0.07064733654260635,False,
8,0.32888888888888884,0.10762331838565022,0.22222222222222224,0.22085889570552145,0.13312867729046865,0.09167940781012483,0.0662504529246194,0.07287412136793137,0.24557159841060638,0.15653498470783234,0.07287412136793137,False,
9,0.15789473684210525,0.00662251655629139,0.10526315789473684,0.08429118773946359,0.025463576964794787,0.010777127490590909,0.005901431099887564,-0.030557330697774887,0.11468420177698135,0.04116496443748474,-0.030557330697774887,False,
10,0.28571428571428575,0.0427807486631016,0.1798941798941799,0.20155038759689922,0.07936277220714447,0.029160836703446984,0.014893348485696118,0.13989676535129547,0.2546279728412628,0.19788528978824615,0.13989676535129547,False,
11,0.37349397590361444,0.024390243902439025,0.1807228915662651,0.3265306122448979,0.058019780864778235,0.02597867398707642,0.014656046551483422,0.14341707527637482,0.25885409116744995,0.20171906054019928,0.14341707527637482,False,
12,0.15328467153284672,0.007352941176470589,0.11678832116788321,0.11353711790393016,0.03865112477152954,0.014873829774205134,0.007767387959544519,-0.006996948271989822,0.11794821172952652,0.05579645559191704,-0.006996948271989822,False,
13,0.1937984496124031,0.0390625,0.14728682170542637,0.1449275362318841,0.0593098528610968,0.020471827440307396,0.010126163128937465,-0.08578448742628098,0.1163594052195549,0.009835155680775642,-0.08578448742628098,False,
14,0.33507853403141363,0.05291005291005291,0.13612565445026178,0.265625,0.10226278485037618,0.04362025785816082,0.024003864649493754,0.11246653646230698,0.19343243539333344,0.15500622987747192,0.11246653646230698,False,
15,0.4631578947368421,0.19148936170212766,0.2842105263157894,0.368,0.21098845710668174,0.1425281854306207,0.10923791995345446,0.29656535387039185,0.36766499280929565,0.33389225602149963,0.29656535387039185,False,
16,0.46861924686192474,0.1856540084388186,0.2928870292887029,0.31213872832369943,0.1952177272080218,0.13062133899207934,0.08997893930239924,0.21762926876544952,0.39783698320388794,0.3046236038208008,0.21762926876544952,False,
17,0.3843137254901961,0.16600790513833993,0.2823529411764706,0.25906735751295334,0.1722927780891949,0.11583334378680603,0.08994132713922265,0.17557479441165924,0.37899720668792725,0.27251681685447693,0.17557479441165924,False,
18,0.4463519313304721,0.14718614718614717,0.26609442060085836,0.27167630057803466,0.16386496691700983,0.10790014673641597,0.07796448190085259,0.20795002579689026,0.3521933853626251,0.27910885214805603,0.20795002579689026,False,
19,0.5229357798165137,0.19444444444444445,0.3211009174311927,0.38064516129032255,0.2331906520088912,0.15260787588557861,0.09151707421545265,0.295453816652298,0.42137566208839417,0.358213871717453,0.295453816652298,False,
20,0.4016393442622951,0.10743801652892562,0.22131147540983606,0.2406417112299465,0.13930753610382413,0.08569909742919811,0.056598906931624074,0.12965403497219086,0.3417556583881378,0.2301691770553589,0.12965403497219086,False,
21,0.35059760956175295,0.09638554216867469,0.2310756972111554,0.2789473684210526,0.13308247077182442,0.08268213909772705,0.04958563453834225,0.19365692138671875,0.349144846200943,0.2698208689689636,0.19365692138671875,False,
22,0.31343283582089554,0.05263157894736842,0.22388059701492535,0.22429906542056077,0.09178441068048933,0.04299427804981795,0.02083194800095704,0.1357101947069168,0.30960559844970703,0.21993312239646912,0.1357101947069168,False,
23,0.380952380952381,0.057692307692307696,0.2380952380952381,0.30985915492957744,0.12402853951218294,0.06034598861371366,0.02981776625133653,0.1772010773420334,0.2609034776687622,0.22082525491714478,0.1772010773420334,False,
24,0.33628318584070793,0.05357142857142857,0.19469026548672566,0.2549019607843137,0.09156927934922628,0.030280581888163592,0.01466679932236044,0.04956383630633354,0.22365613281726837,0.13379916548728943,0.04956383630633354,False,
25,0.4273504273504274,0.10344827586206896,0.2564102564102564,0.3048780487804878,0.1559340476078005,0.10628834029517911,0.0817891251357108,0.1449969857931137,0.33489590883255005,0.2361210286617279,0.1449969857931137,False,
26,0.32067510548523204,0.07659574468085106,0.16033755274261602,0.21910112359550563,0.09308606870736824,0.029089900668932255,0.013694058181857717,0.022110652178525925,0.19903215765953064,0.10751665383577347,0.022110652178525925,False,
27,0.3697478991596639,0.11864406779661017,0.2773109243697479,0.26285714285714284,0.13464055413482964,0.07483795122042525,0.04698581933270247,0.17811274528503418,0.32568588852882385,0.2507837414741516,0.17811274528503418,False,
28,0.35497835497835495,0.07860262008733623,0.20779220779220778,0.25,0.11607348488012054,0.062444338775735575,0.03485369427238104,-0.0009557108278386295,0.1302841454744339,0.06462148576974869,-0.0009557108278386295,False,
29,0.29959514170040485,0.04081632653061225,0.17004048582995954,0.22162162162162163,0.09182187835315081,0.035849278418944946,0.018861879585545766,0.03909407556056976,0.12149212509393692,0.08250542730093002,0.03909407556056976,False,
30,0.38674033149171266,0.06703910614525138,0.17679558011049723,0.33620689655172414,0.1324433063061601,0.04253127416236211,0.020311719317624388,0.13912107050418854,0.22329367697238922,0.18307510018348694,0.13912107050418854,False,
31,0.3316582914572864,0.10152284263959391,0.19095477386934676,0.23076923076923078,0.1279733222819541,0.07520719422353885,0.048560056255372755,0.0860174298286438,0.33736032247543335,0.20255036652088165,0.0860174298286438,False,
32,0.2561576354679803,0.04975124378109452,0.12807881773399016,0.1925465838509317,0.09811895429806917,0.039267769460631624,0.02092210627556603,-0.05920835956931114,0.2430105358362198,0.07593133300542831,-0.05920835956931114,False,
33,0.29032258064516125,0.07608695652173914,0.16129032258064516,0.20833333333333334,0.10795837927188262,0.054754286131376846,0.027621757858545485,0.10142762213945389,0.29982444643974304,0.19609756767749786,0.10142762213945389,False,
34,0.25688073394495414,0.027777777777777776,0.14678899082568808,0.15873015873015872,0.05811400364620054,0.020823960443791305,0.010496131515091094,0.05041244998574257,0.29383066296577454,0.1635366678237915,0.05041244998574257,False,
35,0.20161290322580644,0.024390243902439025,0.12096774193548386,0.13145539906103287,0.0498025154818647,0.018046654438670085,0.009145926466513635,-0.10031021386384964,0.10512405633926392,-0.003418615087866783,-0.10031021386384964,False,
36,0.26605504587155965,0.02777777777777778,0.1926605504587156,0.20588235294117646,0.07804610095321421,0.026269655758783525,0.012835023574985335,0.013875944539904594,0.13271895051002502,0.07392571121454239,0.013875944539904594,False,
37,0.35175879396984927,0.060913705583756333,0.19095477386934673,0.2569444444444444,0.10383104439851205,0.04234368986964944,0.02277871642501872,0.11210564523935318,0.12886786460876465,0.12395896762609482,0.11210564523935318,False,
38,0.4079601990049751,0.18090452261306533,0.3283582089552239,0.29411764705882354,0.18662722567253978,0.1404057088068354,0.11352104683411028,0.11700905859470367,0.2392842173576355,0.1784486174583435,0.11700905859470367,False,
39,0.2129277566539924,0.030651340996168584,0.15969581749049427,0.14042553191489363,0.05477723572559174,0.023439486932557305,0.01290718636268892,-0.07663725316524506,0.06095302477478981,-0.008254771120846272,-0.07663725316524506,False,
40,0.2232142857142857,0.0,0.125,0.15384615384615385,0.04279604925109131,0.017634113435362548,0.009532859731718635,-0.11034129559993744,0.06636836379766464,-0.025330517441034317,-0.11034129559993744,False,
41,0.23655913978494622,0.021660649819494584,0.15053763440860213,0.20833333333333334,0.08804509063256238,0.03308761817666457,0.017076416124533717,0.07470892369747162,0.18286697566509247,0.12984223663806915,0.07470892369747162,False,
42,0.37551020408163266,0.07407407407407408,0.236734693877551,0.2833333333333333,0.13195281589960905,0.06645273488657474,0.0358832133930743,0.11913973093032837,0.2178766131401062,0.16987478733062744,0.11913973093032837,False,
43,0.4647302904564315,0.17573221757322177,0.2821576763485477,0.3647058823529412,0.22278807950058735,0.14812297779521943,0.10395024578798082,0.22335773706436157,0.3537136912345886,0.28826338052749634,0.22335773706436157,False,
44,0.35944700460829493,0.018604651162790697,0.2119815668202765,0.3018867924528302,0.07571015588942195,0.026330526559997774,0.01307821614654575,0.07409029453992844,0.17068135738372803,0.12394901365041733,0.07409029453992844,False,
45,0.25867507886435326,0.03809523809523809,0.1829652996845426,0.20300751879699247,0.09179720690384241,0.04575010418656828,0.024564341613915353,0.00998672191053629,0.166797935962677,0.08674515038728714,0.00998672191053629,False,
46,0.3293172690763052,0.040485829959514164,0.20883534136546184,0.3157894736842105,0.11201752589062737,0.04373477512555068,0.023017921644654143,0.028166448697447777,0.09922951459884644,0.06633903086185455,0.028166448697447777,False,
47,0.3076923076923077,0.04651162790697675,0.19999999999999998,0.2727272727272727,0.09669875568304565,0.029951656227500182,0.014037478633019657,0.04595530405640602,0.16242530941963196,0.10489492863416672,0.04595530405640602,False,
48,0.38202247191011235,0.11320754716981132,0.2546816479400749,0.3,0.1637548242284805,0.106419054742829,0.07638599362213987,0.09647830575704575,0.22698752582073212,0.16163894534111023,0.09647830575704575,False,
49,0.5152838427947599,0.23788546255506607,0.2794759825327511,0.4178082191780822,0.27892431203993895,0.22470350561464242,0.1943978703429276,0.1380166858434677,0.2322263866662979,0.18662141263484955,0.1380166858434677,False,
50,0.4063745019920319,0.08032128514056226,0.2390438247011952,0.3253012048192771,0.15381244891556067,0.06607792151138067,0.036475006604868854,0.09980712831020355,0.20499420166015625,0.1535370647907257,0.09980712831020355,False,
51,0.4810126582278481,0.15319148936170213,0.23628691983122363,0.3971631205673759,0.21960635317451524,0.15138807497445783,0.11082475782387251,0.2420387715101242,0.26869672536849976,0.2582223117351532,0.2420387715101242,False,
52,0.4863013698630137,0.14482758620689656,0.2328767123287671,0.32701421800947866,0.17200872267721795,0.11228408867821348,0.07637748106868726,0.20306770503520966,0.3069058358669281,0.25594040751457214,0.20306770503520966,False,
53,0.4246575342465753,0.17931034482758623,0.29452054794520544,0.31343283582089554,0.18985461837786036,0.13303856019316773,0.09190828601930956,0.16028811037540436,0.268909752368927,0.215452641248703,0.16028811037540436,False,
54,0.44194756554307113,0.14339622641509434,0.27715355805243447,0.335195530726257,0.1680678862455411,0.0985634326232337,0.06356074980156451,0.19369541108608246,0.3171980679035187,0.2555568516254425,0.19369541108608246,False,
55,0.4112903225806452,0.12195121951219512,0.2338709677419355,0.3443708609271523,0.15891464103303332,0.10056131291495793,0.07240570225793073,0.13929183781147003,0.20439305901527405,0.17431053519248962,0.13929183781147003,False,
56,0.42241379310344823,0.0782608695652174,0.20689655172413796,0.3484848484848485,0.1458818613286915,0.07889694094810504,0.04417206433017398,0.15315654873847961,0.23033028841018677,0.19380460679531097,0.15315654873847961,False,
57,0.43065693430656937,0.16176470588235295,0.22627737226277372,0.34065934065934067,0.19880646845538635,0.13812000564932542,0.10075200391626164,0.16859956085681915,0.19288991391658783,0.183915376663208,0.16859956085681915,False,
58,0.40963855421686746,0.12955465587044537,0.2248995983935743,0.3374233128834356,0.17076310896967256,0.10823143668719329,0.07503261278636078,0.13892069458961487,0.20085446536540985,0.1724434196949005,0.13892069458961487,False,
59,0.4322344322344322,0.11808118081180813,0.2271062271062271,0.31843575418994413,0.15825772889976797,0.08910639329375449,0.053248941723603053,0.15792794525623322,0.2443215548992157,0.20286032557487488,0.15792794525623322,False,
60,0.44705882352941173,0.11067193675889328,0.18039215686274507,0.3597560975609756,0.1409391131221608,0.07165113972580514,0.03887862152064161,0.12691250443458557,0.21294555068016052,0.1717652529478073,0.12691250443458557,False,
61,0.3902439024390244,0.07017543859649124,0.2299651567944251,0.3258426966292135,0.1356804772248225,0.07479295339305483,0.051750710129337046,0.08846370875835419,0.11979113519191742,0.10751370340585709,0.08846370875835419,False,
62,0.45791245791245794,0.14915254237288136,0.22895622895622897,0.38461538461538464,0.21124366121351415,0.14771096645937043,0.10955161739727254,0.10544873774051666,0.16971540451049805,0.14018583297729492,0.10544873774051666,False,
63,0.37748344370860926,0.03333333333333333,0.2119205298013245,0.2871287128712871,0.09257972971642756,0.05047089723544213,0.028350942418874217,0.09874173253774643,0.18153943121433258,0.1421724110841751,0.09874173253774643,False,
64,0.22895622895622897,0.013559322033898305,0.12121212121212123,0.18181818181818182,0.030379844191292645,0.013303370072764874,0.007412208098129896,-0.005312424618750811,0.10220856219530106,0.049679793417453766,-0.005312424618750811,False,
65,0.38922155688622756,0.1566265060240964,0.24550898203592816,0.23507462686567165,0.1453626621195668,0.09841662062581888,0.0708376879294691,0.039889145642519,0.25684937834739685,0.14214009046554565,0.039889145642519,False,
66,0.42857142857142855,0.09009009009009007,0.22321428571428573,0.375,0.17480147469502524,0.06109351722275795,0.03042817724364614,0.14460796117782593,0.18768203258514404,0.16911514103412628,0.14460796117782593,False,
67,0.3490909090909091,0.08791208791208792,0.20363636363636364,0.25,0.12278182636050873,0.07701667163370404,0.05135731575013385,0.08402691781520844,0.18442098796367645,0.13560347259044647,0.08402691781520844,False,
68,0.18637992831541217,0.0,0.12186379928315413,0.16113744075829384,0.03917451075554272,0.01542683946909215,0.008150361816185024,-0.007359935902059078,0.07539808005094528,0.03634146600961685,-0.007359935902059078,False,
69,0.2985074626865672,0.05025125628140703,0.1890547263681592,0.32407407407407407,0.12305953161465555,0.041492049263522915,0.02030772814865531,0.05777423828840256,0.07669835537672043,0.07090234756469727,0.05777423828840256,False,
70,0.3433476394849786,0.034632034632034625,0.19742489270386268,0.2565789473684211,0.10906139687626552,0.06196180145940697,0.035546468434739506,0.10254767537117004,0.17538706958293915,0.14132316410541534,0.10254767537117004,False,
71,0.4696969696969697,0.20610687022900764,0.2727272727272727,0.3446327683615819,0.22125441969185441,0.1454497063089737,0.09170907694016822,0.1690058559179306,0.30350151658058167,0.2358563095331192,0.1690058559179306,False,
72,0.43724696356275305,0.20408163265306123,0.30769230769230765,0.33548387096774196,0.20873268525057243,0.1368497472488972,0.09062272154053698,0.2871735990047455,0.35649481415748596,0.3236907124519348,0.2871735990047455,False,
73,0.4609375,0.14173228346456693,0.25,0.32748538011695905,0.16998755493814638,0.10085550307527143,0.0654225839667158,0.19347037374973297,0.245103120803833,0.22190150618553162,0.19347037374973297,False,
74,0.4221105527638191,0.09137055837563451,0.2311557788944724,0.38469217993371946,0.18862846876857456,0.09990147120549388,0.04656898122551751,0.16946162283420563,0.21890686452388763,0.1969332993030548,0.16946162283420563,False,
