Category,LabelsMissing,RelationshipsMissing,PropertiesMissingPerLabel,AllCovered
Aggregation and Counting,[],"['UCOHASWEAKNESS', 'UCOEXHASTAXONOMYMAPPING', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXHASMITREATTACK']","{'UcoCVE': {'ucoevaluatorSolution', 'ucovectorString', 'ucoobtainAllPrivilege', 'uri'}, 'UcoCWE': {'ucorelatedAttackPatterns', 'ucoreferences', 'ucoapplicablePlatform', 'ucomodesOfIntroduction', 'ucocommonConsequences', 'ucocweSummary', 'ucodemonstrativeExamples', 'ucomappingNotes', 'ucocweExtendedSummary', 'ucodetectionMethods', 'ucolikelihoodOfExploit', 'ucopotentialMitigations', 'uri'}, 'UcoVulnerability': {'ucolastModifiedDateTime', 'ucosummary', 'uri'}, 'UcoexCAMPAIGNS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexCAPEC': {'ucoexRelatedWeaknesses', 'ucoexResources_Required', 'ucoexCAPEC_id', 'ucoexExtendedDescription', 'ucoexExample', 'label', 'ucoexTaxonomyMappingATTACK', 'uri', 'ucoexPrerequisites', 'ucoexRelatedAttPattern', 'ucoexAbstraction', 'ucoexConsequences', 'ucoexMitigations', 'ucoexExecutionFlowTechnique', 'ucoexSkills_Required', 'ucoexDescription'}, 'UcoexCPE': {'dictionary_found', 'cpeNameId', 'lastModified', 'titles', 'uri'}, 'UcoexGROUPS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITIGATIONS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITREATTACK': {'ucoexDESCRIPTION', 'ucoexURL', 'uri'}, 'UcoexMITRED3FEND': {'uri'}, 'UcoexObservedExample': {'ucoexDESCRIPTION', 'uri'}, 'UcoexSOFTWARE': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexTACTICS': {'uri'}}",False
Comparative and Ranking,[],[],"{'UcoCVE': {'ucoevaluatorSolution', 'uri'}, 'UcoCWE': {'ucorelatedAttackPatterns', 'ucoreferences', 'ucoapplicablePlatform', 'ucomodesOfIntroduction', 'ucocommonConsequences', 'ucocweSummary', 'ucodemonstrativeExamples', 'ucomappingNotes', 'ucocweExtendedSummary', 'ucodetectionMethods', 'ucopotentialMitigations', 'uri'}, 'UcoExploitTarget': {'uri'}, 'UcoVulnerability': {'ucopublishedDateTime', 'ucolastModifiedDateTime', 'ucosummary', 'uri'}, 'UcoexCAMPAIGNS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexCAPEC': {'ucoexRelatedWeaknesses', 'ucoexPrerequisites', 'ucoexRelatedAttPattern', 'ucoexResources_Required', 'ucoexCAPEC_id', 'ucoexAbstraction', 'ucoexConsequences', 'ucoexMitigations', 'ucoexExtendedDescription', 'ucoexExample', 'ucoexExecutionFlowTechnique', 'label', 'ucoexDescription', 'ucoexTaxonomyMappingATTACK', 'uri'}, 'UcoexCPE': {'dictionary_found', 'cpeNameId', 'lastModified', 'titles', 'uri'}, 'UcoexGROUPS': {'ucoexDESCRIPTION', 'ucoexURL', 'uri'}, 'UcoexMITIGATIONS': {'ucoexDESCRIPTION', 'ucoexURL', 'uri'}, 'UcoexMITREATTACK': {'ucoexDESCRIPTION', 'ucoexURL', 'uri'}, 'UcoexMITRED3FEND': {'ucoexMITRED3FEND_DEFINITION', 'uri'}, 'UcoexObservedExample': {'ucoexDESCRIPTION', 'uri'}, 'UcoexSOFTWARE': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexTACTICS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexNAME', 'uri'}}",False
Conditional and Boolean Queries,[],"['UCOEXHASRELATEDWEAKNESS', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXHASCPE', 'UCOEXSOFTWAREUSESTECHNIQUE']","{'UcoCVE': {'uri'}, 'UcoCWE': {'ucorelatedAttackPatterns', 'ucoreferences', 'ucostatus', 'ucostructure', 'ucoapplicablePlatform', 'ucomodesOfIntroduction', 'ucocommonConsequences', 'ucodemonstrativeExamples', 'ucomappingNotes', 'ucocweExtendedSummary', 'ucodetectionMethods', 'ucopotentialMitigations', 'ucotimeOfIntroduction'}, 'UcoVulnerability': {'ucolastModifiedDateTime'}, 'UcoexCAMPAIGNS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexCAPEC': {'ucoexRelatedWeaknesses', 'ucoexPrerequisites', 'ucoexRelatedAttPattern', 'ucoexResources_Required', 'ucoexCAPEC_id', 'ucoexAbstraction', 'ucoexConsequences', 'ucoexMitigations', 'ucoexExtendedDescription', 'ucoexExample', 'ucoexExecutionFlowTechnique', 'label', 'ucoexDescription', 'ucoexTaxonomyMappingATTACK', 'uri'}, 'UcoexCPE': {'cpeNameId', 'lastModified', 'uri', 'dictionary_found'}, 'UcoexGROUPS': {'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITIGATIONS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexObservedExample': {'uri'}, 'UcoexSOFTWARE': {'ucoexURL', 'uri'}, 'UcoexTACTICS': {'ucoexURL', 'uri'}}",False
Existence and Set Operations Queries,[],[],"{'UcoCVE': {'ucoevaluatorSolution', 'ucovectorString', 'ucouserInteractionRequired', 'ucoexploitabilityScore', 'ucoobtainAllPrivilege', 'uri'}, 'UcoCWE': {'ucorelatedAttackPatterns', 'ucoreferences', 'ucostructure', 'ucoapplicablePlatform', 'ucomodesOfIntroduction', 'ucocommonConsequences', 'ucodemonstrativeExamples', 'ucomappingNotes', 'ucocweExtendedSummary', 'ucodetectionMethods', 'ucopotentialMitigations', 'ucotimeOfIntroduction', 'ucocweSummary'}, 'UcoVulnerability': {'ucosummary', 'ucolastModifiedDateTime'}, 'UcoexCAMPAIGNS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexCAPEC': {'ucoexRelatedWeaknesses', 'ucoexRelatedAttPattern', 'ucoexResources_Required', 'ucoexCAPEC_id', 'ucoexAbstraction', 'uri', 'ucoexMitigations', 'ucoexExample', 'ucoexExecutionFlowTechnique', 'ucoexTaxonomyMappingATTACK', 'ucoexLikelihood'}, 'UcoexCPE': {'dictionary_found', 'cpeNameId', 'cpeName', 'lastModified', 'titles', 'uri'}, 'UcoexGROUPS': {'ucoexURL', 'uri'}, 'UcoexMITIGATIONS': {'ucoexURL', 'uri'}, 'UcoexMITRED3FEND': {'ucoexMITRED3FEND_DEFINITION', 'ucoexMITRED3FEND_LABEL'}, 'UcoexObservedExample': {'ucoexDESCRIPTION', 'uri'}, 'UcoexSOFTWARE': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexTACTICS': {'ucoexURL', 'ucoexDOMAIN', 'uri'}}",False
Graph Pattern Matching,['UcoexTACTICS'],[],"{'UcoCVE': {'ucoevaluatorSolution', 'ucovulnStatus', 'ucovectorString', 'ucoimpactScore', 'ucouserInteractionRequired', 'ucoexploitabilityScore', 'ucoobtainAllPrivilege'}, 'UcoCWE': {'ucorelatedAttackPatterns', 'ucoreferences', 'ucostatus', 'ucostructure', 'ucoapplicablePlatform', 'ucomodesOfIntroduction', 'ucocommonConsequences', 'ucodemonstrativeExamples', 'ucomappingNotes', 'ucocweExtendedSummary', 'ucodetectionMethods', 'ucolikelihoodOfExploit', 'ucodescription', 'ucopotentialMitigations', 'ucotimeOfIntroduction', 'ucocweSummary'}, 'UcoVulnerability': {'ucopublishedDateTime', 'ucolastModifiedDateTime'}, 'UcoexCAMPAIGNS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexCAPEC': {'ucoexRelatedWeaknesses', 'ucoexPrerequisites', 'ucoexRelatedAttPattern', 'ucoexResources_Required', 'ucoexCAPEC_id', 'ucoexAbstraction', 'ucoexConsequences', 'uri', 'ucoexMitigations', 'ucoexExtendedDescription', 'ucoexExample', 'ucoexExecutionFlowTechnique', 'ucoexSkills_Required', 'ucoexDescription', 'ucoexTaxonomyMappingATTACK', 'ucoexLikelihood'}, 'UcoexCPE': {'cpeNameId', 'lastModified', 'titles', 'dictionary_found'}, 'UcoexGROUPS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITIGATIONS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITREATTACK': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITRED3FEND': {'ucoexMITRED3FEND_DEFINITION', 'uri'}, 'UcoexObservedExample': {'uri'}, 'UcoexSOFTWARE': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexTACTICS': {'ucoexDESCRIPTION', 'ucoexNAME', 'ucoexURL', 'ucoexDOMAIN', 'uri'}}",False
Multi-hop Queries,['UcoexTACTICS'],[],"{'UcoCVE': {'ucoevaluatorSolution', 'ucovulnStatus', 'ucovectorString', 'ucoimpactScore', 'ucouserInteractionRequired', 'ucoexploitabilityScore', 'ucoobtainAllPrivilege'}, 'UcoCWE': {'ucorelatedAttackPatterns', 'ucoreferences', 'ucostatus', 'ucopotentialMitigations', 'ucostructure', 'ucoapplicablePlatform', 'ucomodesOfIntroduction', 'ucocommonConsequences', 'ucodemonstrativeExamples', 'ucomappingNotes', 'ucocweExtendedSummary', 'ucodetectionMethods', 'ucolikelihoodOfExploit', 'ucodescription', 'ucoabstraction', 'ucotimeOfIntroduction', 'ucocweSummary'}, 'UcoVulnerability': {'ucolastModifiedDateTime'}, 'UcoexCAMPAIGNS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexCAPEC': {'ucoexRelatedWeaknesses', 'ucoexRelatedAttPattern', 'ucoexPrerequisites', 'ucoexResources_Required', 'ucoexAbstraction', 'ucoexConsequences', 'ucoexMitigations', 'ucoexExtendedDescription', 'ucoexExample', 'ucoexExecutionFlowTechnique', 'ucoexSeverity', 'ucoexSkills_Required', 'ucoexDescription', 'ucoexTaxonomyMappingATTACK', 'ucoexLikelihood'}, 'UcoexCPE': {'cpeNameId', 'lastModified', 'titles', 'dictionary_found'}, 'UcoexGROUPS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITIGATIONS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITREATTACK': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITRED3FEND': {'ucoexMITRED3FEND_DEFINITION', 'uri'}, 'UcoexObservedExample': {'ucoexDESCRIPTION', 'uri'}, 'UcoexSOFTWARE': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexTACTICS': {'ucoexDESCRIPTION', 'ucoexNAME', 'ucoexURL', 'ucoexDOMAIN', 'uri'}}",False
Node Lookup Queries,[],"['UCOHASWEAKNESS', 'UCOEXMITIGATES', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASCPE', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']","{'UcoCVE': {'ucoevaluatorSolution', 'ucovectorString', 'ucouserInteractionRequired', 'ucoexploitabilityScore', 'ucoobtainAllPrivilege', 'uri'}, 'UcoCWE': {'ucorelatedAttackPatterns', 'ucoreferences', 'ucostructure', 'ucoapplicablePlatform', 'ucomodesOfIntroduction', 'ucocommonConsequences', 'ucodemonstrativeExamples', 'ucomappingNotes', 'ucocweExtendedSummary', 'ucodetectionMethods', 'ucolikelihoodOfExploit', 'ucopotentialMitigations', 'ucotimeOfIntroduction', 'uri'}, 'UcoVulnerability': {'uri'}, 'UcoexCAMPAIGNS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexCAPEC': {'ucoexRelatedWeaknesses', 'ucoexPrerequisites', 'ucoexRelatedAttPattern', 'ucoexResources_Required', 'ucoexConsequences', 'uri', 'ucoexMitigations', 'ucoexExtendedDescription', 'ucoexExample', 'ucoexExecutionFlowTechnique', 'ucoexSeverity', 'label', 'ucoexTaxonomyMappingATTACK', 'ucoexLikelihood'}, 'UcoexCPE': {'uri', 'dictionary_found'}, 'UcoexGROUPS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITIGATIONS': {'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITREATTACK': {'ucoexURL', 'uri'}, 'UcoexMITRED3FEND': {'uri'}, 'UcoexObservedExample': {'uri'}, 'UcoexSOFTWARE': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexTACTICS': {'uri'}}",False
Path Queries (Variable-length),['UcoexTACTICS'],"['UCOHASWEAKNESS', 'UCOEXMITIGATES', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASCPE', 'UCOEXATTRIBUTEDTO', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']","{'UcoCVE': {'ucoevaluatorSolution', 'ucovulnStatus', 'ucoimpactScore', 'ucouserInteractionRequired', 'ucoexploitabilityScore', 'ucoobtainAllPrivilege'}, 'UcoCWE': {'ucorelatedAttackPatterns', 'ucoreferences', 'ucostatus', 'ucopotentialMitigations', 'ucostructure', 'ucoapplicablePlatform', 'ucomodesOfIntroduction', 'ucocommonConsequences', 'ucodemonstrativeExamples', 'ucomappingNotes', 'ucocweExtendedSummary', 'ucodetectionMethods', 'ucolikelihoodOfExploit', 'ucodescription', 'ucoabstraction', 'ucotimeOfIntroduction', 'ucocweSummary'}, 'UcoVulnerability': {'ucolastModifiedDateTime', 'uri'}, 'UcoexCAMPAIGNS': {'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexCAPEC': {'ucoexRelatedWeaknesses', 'ucoexPrerequisites', 'ucoexRelatedAttPattern', 'ucoexResources_Required', 'ucoexAbstraction', 'ucoexConsequences', 'uri', 'ucoexMitigations', 'ucoexExtendedDescription', 'ucoexExample', 'ucoexExecutionFlowTechnique', 'ucoexSeverity', 'label', 'ucoexDescription', 'ucoexSkills_Required', 'ucoexTaxonomyMappingATTACK', 'ucoexLikelihood'}, 'UcoexCPE': {'lastModified', 'titles', 'dictionary_found'}, 'UcoexGROUPS': {'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITIGATIONS': {'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITREATTACK': {'ucoexURL'}, 'UcoexMITRED3FEND': {'uri'}, 'UcoexObservedExample': {'ucoexDESCRIPTION', 'uri'}, 'UcoexSOFTWARE': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexTACTICS': {'ucoexDESCRIPTION', 'ucoexNAME', 'ucoexURL', 'ucoexDOMAIN', 'uri'}}",False
Relationship Traversal Queries,['UcoexTACTICS'],[],"{'UcoCVE': {'ucoevaluatorSolution', 'ucoimpactScore', 'ucoexploitabilityScore', 'ucoobtainAllPrivilege'}, 'UcoCWE': {'ucorelatedAttackPatterns', 'ucoreferences', 'ucostructure', 'ucoapplicablePlatform', 'ucomodesOfIntroduction', 'ucocommonConsequences', 'ucodemonstrativeExamples', 'ucomappingNotes', 'ucocweExtendedSummary', 'ucodetectionMethods', 'ucolikelihoodOfExploit', 'ucodescription', 'ucopotentialMitigations', 'ucotimeOfIntroduction', 'ucocweSummary'}, 'UcoVulnerability': {'ucolastModifiedDateTime'}, 'UcoexCAMPAIGNS': {'ucoexDESCRIPTION', 'ucoexURL', 'uri'}, 'UcoexCAPEC': {'ucoexRelatedWeaknesses', 'ucoexPrerequisites', 'ucoexRelatedAttPattern', 'ucoexResources_Required', 'ucoexAbstraction', 'ucoexConsequences', 'ucoexMitigations', 'ucoexExtendedDescription', 'ucoexExample', 'ucoexExecutionFlowTechnique', 'ucoexSeverity', 'label', 'ucoexSkills_Required', 'ucoexTaxonomyMappingATTACK', 'ucoexLikelihood'}, 'UcoexCPE': {'dictionary_found', 'cpeNameId', 'lastModified', 'titles', 'uri'}, 'UcoexGROUPS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITIGATIONS': {'ucoexDESCRIPTION', 'ucoexURL', 'ucoexDOMAIN', 'uri'}, 'UcoexMITREATTACK': {'ucoexURL'}, 'UcoexMITRED3FEND': {'ucoexMITRED3FEND_DEFINITION', 'uri'}, 'UcoexSOFTWARE': {'ucoexURL'}, 'UcoexTACTICS': {'ucoexDESCRIPTION', 'ucoexNAME', 'ucoexURL', 'ucoexDOMAIN', 'uri'}}",False
