Category,LabelsCovered,LabelsMissing,RelationshipsCovered,RelationshipsMissing,PropertiesCovered,PropertiesMissing,AllLabelsCovered,AllRelsCovered,AllPropsCovered,AllCovered
Aggregation and Counting,"['UcoVulnerability', 'UcoexObservedExample', 'UcoexMITREATTACK', 'UcoexCAPEC', 'UcoexTACTICS', 'UcoexCAMPAIGNS', 'UcoexMITIGATIONS', 'UcoCVE', 'UcoCWE', 'UcoexCPE', 'UcoexMITRED3FEND', 'UcoexSOFTWARE', 'UcoExploitTarget', 'UcoexGROUPS']",[],"['UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOEXMITIGATES', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOHASCVE_ID', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASCPE', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOEXATTRIBUTEDTO', 'UCOEXCAMPAIGNUSESSOFTWARE']","['UCOHASWEAKNESS', 'UCOEXHASTAXONOMYMAPPING', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXHASMITREATTACK']","['ucocweName', 'ucopublishedDateTime', 'ucoexNAME', 'ucoexploitabilityScore', 'label', 'ucostatus', 'ucoimpactScore', 'ucocweID', 'ucoexDOMAIN', 'ucouserInteractionRequired', 'ucodescription', 'cpeName', 'ucoexLikelihood', 'ucoexDESCRIPTION', 'ucovulnStatus', 'ucobaseSeverity', 'ucoexMITRED3FEND_DEFINITION', 'ucoexMITRED3FEND_LABEL', 'ucoabstraction', 'ucoexSeverity', 'ucotimeOfIntroduction', 'uri', 'ucostructure', 'ucoexURL', 'ucoexCAPEC_name']","['ucoexRelatedWeaknesses', 'ucoreferences', 'ucoexCAPEC_id', 'ucomodesOfIntroduction', 'cpeNameId', 'ucodemonstrativeExamples', 'ucoexExample', 'ucocweExtendedSummary', 'ucolikelihoodOfExploit', 'ucolastModifiedDateTime', 'lastModified', 'ucosummary', 'ucoexTaxonomyMappingATTACK', 'ucoevaluatorSolution', 'ucoexPrerequisites', 'ucorelatedAttackPatterns', 'ucoexRelatedAttPattern', 'ucoobtainAllPrivilege', 'ucoexAbstraction', 'ucoexConsequences', 'ucocweSummary', 'ucomappingNotes', 'ucoexExecutionFlowTechnique', 'ucoexSkills_Required', 'ucoexResources_Required', 'dictionary_found', 'ucoapplicablePlatform', 'ucocommonConsequences', 'ucodetectionMethods', 'ucopotentialMitigations', 'titles', 'ucovectorString', 'ucoexMitigations', 'ucoexDescription', 'ucoexExtendedDescription']",True,False,False,False
Comparative and Ranking,"['UcoVulnerability', 'UcoexObservedExample', 'UcoexMITREATTACK', 'UcoexCAPEC', 'UcoexTACTICS', 'UcoexCAMPAIGNS', 'UcoexMITIGATIONS', 'UcoCVE', 'UcoCWE', 'UcoexCPE', 'UcoexMITRED3FEND', 'UcoexSOFTWARE', 'UcoExploitTarget', 'UcoexGROUPS']",[],"['UCOHASWEAKNESS', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOEXMITIGATES', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXHASCPE', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXATTRIBUTEDTO', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']",[],"['ucocweName', 'ucoexNAME', 'ucoexploitabilityScore', 'ucolikelihoodOfExploit', 'label', 'ucoobtainAllPrivilege', 'ucostatus', 'ucoimpactScore', 'ucocweID', 'ucoexDOMAIN', 'ucouserInteractionRequired', 'ucodescription', 'cpeName', 'ucoexLikelihood', 'ucoexSkills_Required', 'ucovulnStatus', 'ucobaseSeverity', 'ucoexMITRED3FEND_LABEL', 'ucoabstraction', 'ucoexSeverity', 'ucotimeOfIntroduction', 'ucostructure', 'ucovectorString', 'ucoexCAPEC_name']","['ucoexRelatedWeaknesses', 'ucoreferences', 'ucoexCAPEC_id', 'ucomodesOfIntroduction', 'ucopublishedDateTime', 'cpeNameId', 'ucodemonstrativeExamples', 'ucoexExample', 'ucocweExtendedSummary', 'ucolastModifiedDateTime', 'lastModified', 'ucoexTaxonomyMappingATTACK', 'ucosummary', 'ucoevaluatorSolution', 'ucoexPrerequisites', 'ucorelatedAttackPatterns', 'ucoexRelatedAttPattern', 'ucoexAbstraction', 'ucoexConsequences', 'ucocweSummary', 'ucomappingNotes', 'ucoexExecutionFlowTechnique', 'ucoexDESCRIPTION', 'ucoexResources_Required', 'dictionary_found', 'ucoapplicablePlatform', 'ucocommonConsequences', 'ucodetectionMethods', 'ucoexMITRED3FEND_DEFINITION', 'ucopotentialMitigations', 'titles', 'uri', 'ucoexURL', 'ucoexMitigations', 'ucoexDescription', 'ucoexExtendedDescription']",True,True,False,False
Conditional and Boolean Queries,"['UcoVulnerability', 'UcoexObservedExample', 'UcoexMITREATTACK', 'UcoexCAPEC', 'UcoexTACTICS', 'UcoexCAMPAIGNS', 'UcoexMITIGATIONS', 'UcoCVE', 'UcoCWE', 'UcoexCPE', 'UcoexMITRED3FEND', 'UcoexSOFTWARE', 'UcoExploitTarget', 'UcoexGROUPS']",[],"['UCOHASWEAKNESS', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOEXGROUPUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXMITIGATES', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXATTRIBUTEDTO', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']","['UCOEXHASRELATEDWEAKNESS', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXHASCPE', 'UCOEXSOFTWAREUSESTECHNIQUE']","['ucocweName', 'ucopublishedDateTime', 'ucoexNAME', 'ucoexploitabilityScore', 'ucolikelihoodOfExploit', 'label', 'ucoobtainAllPrivilege', 'ucosummary', 'ucoevaluatorSolution', 'ucoimpactScore', 'ucocweID', 'ucoexDOMAIN', 'ucouserInteractionRequired', 'ucodescription', 'cpeName', 'ucoexSkills_Required', 'ucoexDESCRIPTION', 'ucoexLikelihood', 'ucovulnStatus', 'ucobaseSeverity', 'ucoexMITRED3FEND_DEFINITION', 'ucoexMITRED3FEND_LABEL', 'ucoabstraction', 'ucoexSeverity', 'titles', 'uri', 'ucoexURL', 'ucovectorString', 'ucoexCAPEC_name', 'ucocweSummary']","['ucoexRelatedWeaknesses', 'ucoreferences', 'ucoexCAPEC_id', 'ucomodesOfIntroduction', 'cpeNameId', 'ucodemonstrativeExamples', 'ucoexExample', 'ucocweExtendedSummary', 'ucolastModifiedDateTime', 'lastModified', 'ucoexTaxonomyMappingATTACK', 'ucoexPrerequisites', 'ucoexRelatedAttPattern', 'ucorelatedAttackPatterns', 'ucostatus', 'ucoexAbstraction', 'ucoexConsequences', 'ucomappingNotes', 'ucoexExecutionFlowTechnique', 'ucoexResources_Required', 'dictionary_found', 'ucoapplicablePlatform', 'ucocommonConsequences', 'ucodetectionMethods', 'ucopotentialMitigations', 'ucotimeOfIntroduction', 'ucostructure', 'ucoexMitigations', 'ucoexDescription', 'ucoexExtendedDescription']",True,False,False,False
Existence and Set Operations Queries,"['UcoVulnerability', 'UcoexObservedExample', 'UcoexMITREATTACK', 'UcoexCAPEC', 'UcoexTACTICS', 'UcoexCAMPAIGNS', 'UcoexMITIGATIONS', 'UcoCVE', 'UcoCWE', 'UcoexCPE', 'UcoexMITRED3FEND', 'UcoexSOFTWARE', 'UcoExploitTarget', 'UcoexGROUPS']",[],"['UCOHASWEAKNESS', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOEXMITIGATES', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXHASCPE', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXATTRIBUTEDTO', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']",[],"['ucocweName', 'ucopublishedDateTime', 'ucoexNAME', 'ucolikelihoodOfExploit', 'label', 'ucoexPrerequisites', 'ucostatus', 'ucoimpactScore', 'ucocweID', 'ucoexConsequences', 'ucoexDOMAIN', 'ucodescription', 'ucoexSkills_Required', 'ucoexDESCRIPTION', 'ucovulnStatus', 'ucobaseSeverity', 'ucoabstraction', 'ucoexSeverity', 'uri', 'ucoexURL', 'ucoexCAPEC_name', 'ucoexDescription', 'ucoexExtendedDescription']","['ucoexRelatedWeaknesses', 'ucoreferences', 'ucoexCAPEC_id', 'ucomodesOfIntroduction', 'cpeNameId', 'ucodemonstrativeExamples', 'ucoexExample', 'ucoexploitabilityScore', 'ucocweExtendedSummary', 'ucolastModifiedDateTime', 'lastModified', 'ucosummary', 'ucoexTaxonomyMappingATTACK', 'ucoevaluatorSolution', 'ucoexRelatedAttPattern', 'ucorelatedAttackPatterns', 'ucoobtainAllPrivilege', 'ucoexAbstraction', 'ucouserInteractionRequired', 'ucomappingNotes', 'ucoexExecutionFlowTechnique', 'cpeName', 'ucoexLikelihood', 'ucoexResources_Required', 'dictionary_found', 'ucoapplicablePlatform', 'ucocommonConsequences', 'ucodetectionMethods', 'ucoexMITRED3FEND_DEFINITION', 'ucoexMITRED3FEND_LABEL', 'ucopotentialMitigations', 'titles', 'ucotimeOfIntroduction', 'ucostructure', 'ucovectorString', 'ucoexMitigations', 'ucocweSummary']",True,True,False,False
Graph Pattern Matching,"['UcoexMITREATTACK', 'UcoVulnerability', 'UcoexObservedExample', 'UcoexCAPEC', 'UcoexGROUPS', 'UcoexCAMPAIGNS', 'UcoexMITIGATIONS', 'UcoCVE', 'UcoCWE', 'UcoexCPE', 'UcoexMITRED3FEND', 'UcoexSOFTWARE', 'UcoExploitTarget']",['UcoexTACTICS'],"['UCOHASWEAKNESS', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOEXMITIGATES', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXHASCPE', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXATTRIBUTEDTO', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']",[],"['ucoexDESCRIPTION', 'ucobaseSeverity', 'ucocweName', 'cpeName', 'ucocweID', 'ucoexNAME', 'ucoexMITRED3FEND_LABEL', 'ucoabstraction', 'ucoexSeverity', 'label', 'ucoexCAPEC_name', 'ucosummary', 'uri']","['ucoexRelatedWeaknesses', 'ucoreferences', 'ucoexCAPEC_id', 'ucomodesOfIntroduction', 'ucopublishedDateTime', 'ucodemonstrativeExamples', 'ucoexExample', 'ucoexploitabilityScore', 'ucocweExtendedSummary', 'ucolikelihoodOfExploit', 'cpeNameId', 'ucolastModifiedDateTime', 'lastModified', 'ucoobtainAllPrivilege', 'ucoevaluatorSolution', 'ucoexPrerequisites', 'ucorelatedAttackPatterns', 'ucostatus', 'ucoexRelatedAttPattern', 'ucoexTaxonomyMappingATTACK', 'ucoexAbstraction', 'ucoimpactScore', 'ucoexConsequences', 'ucoexDOMAIN', 'ucouserInteractionRequired', 'ucomappingNotes', 'ucoexExecutionFlowTechnique', 'ucodescription', 'ucoexLikelihood', 'ucoexSkills_Required', 'ucovulnStatus', 'ucoexResources_Required', 'dictionary_found', 'ucoapplicablePlatform', 'ucocommonConsequences', 'ucoexExtendedDescription', 'ucodetectionMethods', 'ucoexMITRED3FEND_DEFINITION', 'ucopotentialMitigations', 'titles', 'ucotimeOfIntroduction', 'ucostructure', 'ucoexURL', 'ucovectorString', 'ucoexMitigations', 'ucoexDescription', 'ucocweSummary']",False,True,False,False
Multi-hop Queries,"['UcoVulnerability', 'UcoexObservedExample', 'UcoexMITREATTACK', 'UcoexCAPEC', 'UcoexGROUPS', 'UcoexCAMPAIGNS', 'UcoexMITIGATIONS', 'UcoCVE', 'UcoCWE', 'UcoexCPE', 'UcoexMITRED3FEND', 'UcoexSOFTWARE', 'UcoExploitTarget']",['UcoexTACTICS'],"['UCOHASWEAKNESS', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOEXMITIGATES', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXHASCPE', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXATTRIBUTEDTO', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']",[],"['ucobaseSeverity', 'ucoexCAPEC_id', 'ucocweName', 'ucocweID', 'ucopublishedDateTime', 'ucoexNAME', 'ucoexMITRED3FEND_LABEL', 'cpeName', 'label', 'ucoexCAPEC_name', 'ucosummary', 'uri']","['ucoexRelatedWeaknesses', 'ucoreferences', 'ucomodesOfIntroduction', 'ucodemonstrativeExamples', 'ucoexExample', 'ucoexploitabilityScore', 'ucocweExtendedSummary', 'ucolikelihoodOfExploit', 'cpeNameId', 'ucolastModifiedDateTime', 'lastModified', 'ucoobtainAllPrivilege', 'ucoevaluatorSolution', 'ucoexPrerequisites', 'ucorelatedAttackPatterns', 'ucostatus', 'ucoexRelatedAttPattern', 'ucoexTaxonomyMappingATTACK', 'ucoexAbstraction', 'ucoimpactScore', 'ucoexConsequences', 'ucoexDOMAIN', 'ucouserInteractionRequired', 'ucomappingNotes', 'ucoexExecutionFlowTechnique', 'ucodescription', 'ucoexLikelihood', 'ucoexDESCRIPTION', 'ucoexSkills_Required', 'ucovulnStatus', 'ucoexResources_Required', 'dictionary_found', 'ucoapplicablePlatform', 'ucocommonConsequences', 'ucoexExtendedDescription', 'ucodetectionMethods', 'ucoexMITRED3FEND_DEFINITION', 'ucoabstraction', 'ucopotentialMitigations', 'ucoexSeverity', 'titles', 'ucotimeOfIntroduction', 'ucostructure', 'ucoexURL', 'ucovectorString', 'ucoexMitigations', 'ucoexDescription', 'ucocweSummary']",False,True,False,False
Node Lookup Queries,"['UcoVulnerability', 'UcoexObservedExample', 'UcoexMITREATTACK', 'UcoexCAPEC', 'UcoexTACTICS', 'UcoexCAMPAIGNS', 'UcoexMITIGATIONS', 'UcoCVE', 'UcoCWE', 'UcoexCPE', 'UcoexMITRED3FEND', 'UcoexSOFTWARE', 'UcoExploitTarget', 'UcoexGROUPS']",[],['UCOEXATTRIBUTEDTO'],"['UCOHASWEAKNESS', 'UCOEXMITIGATES', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASCPE', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']","['ucoexCAPEC_id', 'ucocweName', 'ucopublishedDateTime', 'cpeNameId', 'ucoexNAME', 'ucolastModifiedDateTime', 'label', 'lastModified', 'ucosummary', 'ucoobtainAllPrivilege', 'ucostatus', 'ucoexAbstraction', 'ucoimpactScore', 'ucocweID', 'ucoexDOMAIN', 'ucodescription', 'cpeName', 'ucoexSkills_Required', 'ucoexDESCRIPTION', 'ucovulnStatus', 'ucobaseSeverity', 'ucoexMITRED3FEND_DEFINITION', 'ucoexMITRED3FEND_LABEL', 'ucoabstraction', 'titles', 'uri', 'ucoexURL', 'ucoexCAPEC_name', 'ucoexDescription', 'ucocweSummary']","['ucoexRelatedWeaknesses', 'ucoreferences', 'ucomodesOfIntroduction', 'ucodemonstrativeExamples', 'ucoexExample', 'ucoexploitabilityScore', 'ucocweExtendedSummary', 'ucolikelihoodOfExploit', 'ucoexTaxonomyMappingATTACK', 'ucoevaluatorSolution', 'ucoexPrerequisites', 'ucorelatedAttackPatterns', 'ucoexRelatedAttPattern', 'ucoexConsequences', 'ucouserInteractionRequired', 'ucomappingNotes', 'ucoexExecutionFlowTechnique', 'ucoexLikelihood', 'ucoexResources_Required', 'dictionary_found', 'ucoapplicablePlatform', 'ucocommonConsequences', 'ucodetectionMethods', 'ucopotentialMitigations', 'ucoexSeverity', 'ucotimeOfIntroduction', 'ucostructure', 'ucovectorString', 'ucoexMitigations', 'ucoexExtendedDescription']",True,False,False,False
Path Queries (Variable-length),"['UcoexMITREATTACK', 'UcoVulnerability', 'UcoexObservedExample', 'UcoexCAPEC', 'UcoexGROUPS', 'UcoexCAMPAIGNS', 'UcoexMITIGATIONS', 'UcoCVE', 'UcoCWE', 'UcoexCPE', 'UcoexMITRED3FEND', 'UcoexSOFTWARE', 'UcoExploitTarget']",['UcoexTACTICS'],[],"['UCOHASWEAKNESS', 'UCOEXMITIGATES', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASCPE', 'UCOEXATTRIBUTEDTO', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']","['ucoexDESCRIPTION', 'ucovectorString', 'ucobaseSeverity', 'ucoexCAPEC_id', 'ucocweName', 'ucocweID', 'ucoexDOMAIN', 'ucopublishedDateTime', 'ucoexNAME', 'cpeNameId', 'ucoexMITRED3FEND_DEFINITION', 'ucoexMITRED3FEND_LABEL', 'cpeName', 'label', 'ucoexCAPEC_name', 'ucosummary', 'uri']","['ucoexRelatedWeaknesses', 'ucoreferences', 'ucomodesOfIntroduction', 'ucodemonstrativeExamples', 'ucoexExample', 'ucoexploitabilityScore', 'ucocweExtendedSummary', 'ucolikelihoodOfExploit', 'ucolastModifiedDateTime', 'lastModified', 'ucoexTaxonomyMappingATTACK', 'ucoobtainAllPrivilege', 'ucoevaluatorSolution', 'ucoexPrerequisites', 'ucorelatedAttackPatterns', 'ucostatus', 'ucoexRelatedAttPattern', 'ucoexAbstraction', 'ucoimpactScore', 'ucoexConsequences', 'ucocweSummary', 'ucouserInteractionRequired', 'ucomappingNotes', 'ucoexExecutionFlowTechnique', 'ucodescription', 'ucoexLikelihood', 'ucoexSkills_Required', 'ucovulnStatus', 'ucoexResources_Required', 'dictionary_found', 'ucoapplicablePlatform', 'ucocommonConsequences', 'ucodetectionMethods', 'ucoabstraction', 'ucopotentialMitigations', 'ucoexSeverity', 'titles', 'ucotimeOfIntroduction', 'ucostructure', 'ucoexURL', 'ucoexMitigations', 'ucoexDescription', 'ucoexExtendedDescription']",False,False,False,False
Relationship Traversal Queries,"['UcoexMITREATTACK', 'UcoVulnerability', 'UcoexObservedExample', 'UcoexCAPEC', 'UcoexGROUPS', 'UcoexCAMPAIGNS', 'UcoexMITIGATIONS', 'UcoCVE', 'UcoCWE', 'UcoexCPE', 'UcoexMITRED3FEND', 'UcoexSOFTWARE', 'UcoExploitTarget']",['UcoexTACTICS'],"['UCOHASWEAKNESS', 'UCOEXCAMPAIGNUSESTECHNIQUE', 'UCOHASCVE_ID', 'UCOEXGROUPUSESTECHNIQUE', 'UCOEXGROUPUSESSOFTWARE', 'UCOEXHASRELATEDWEAKNESS', 'UCOEXMITIGATES', 'UCOHASOBSERVEDEXAMPLE', 'UCOEXHASTAXONOMYMAPPING', 'UCOEXHASCPE', 'UCOEXSOFTWAREUSESTECHNIQUE', 'UCOHASVULNERABILITY', 'UCOEXEXAMPLEOBSERVEDIN', 'UCOEXATTRIBUTEDTO', 'UCOEXHASMITREATTACK', 'UCOEXCAMPAIGNUSESSOFTWARE']",[],"['ucoexCAPEC_id', 'ucocweName', 'ucopublishedDateTime', 'ucoexNAME', 'label', 'ucosummary', 'ucostatus', 'ucocweID', 'ucoexDOMAIN', 'ucouserInteractionRequired', 'cpeName', 'ucoexDESCRIPTION', 'ucovulnStatus', 'ucobaseSeverity', 'ucoexMITRED3FEND_LABEL', 'ucoabstraction', 'uri', 'ucovectorString', 'ucoexCAPEC_name', 'ucoexDescription']","['ucoexRelatedWeaknesses', 'ucoreferences', 'ucomodesOfIntroduction', 'cpeNameId', 'ucodemonstrativeExamples', 'ucoexExample', 'ucoexploitabilityScore', 'ucocweExtendedSummary', 'ucolikelihoodOfExploit', 'ucolastModifiedDateTime', 'lastModified', 'ucoexTaxonomyMappingATTACK', 'ucoobtainAllPrivilege', 'ucoevaluatorSolution', 'ucoexPrerequisites', 'ucorelatedAttackPatterns', 'ucoexRelatedAttPattern', 'ucoexAbstraction', 'ucoimpactScore', 'ucoexConsequences', 'ucocweSummary', 'ucomappingNotes', 'ucoexExecutionFlowTechnique', 'ucodescription', 'ucoexLikelihood', 'ucoexSkills_Required', 'ucoexResources_Required', 'dictionary_found', 'ucoapplicablePlatform', 'ucocommonConsequences', 'ucodetectionMethods', 'ucoexMITRED3FEND_DEFINITION', 'ucopotentialMitigations', 'ucoexSeverity', 'titles', 'ucotimeOfIntroduction', 'ucostructure', 'ucoexURL', 'ucoexMitigations', 'ucoexExtendedDescription']",False,True,False,False
